                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"MEHARRY MEDICAL COLLEGE","2P20RR011792-06","Coney, Ponjola ","MEHARRY CLINICAL RESEARCH CENTER","NONE","SCHOOLS OF MEDICINE","$ 1,510,832","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                                    
"MEHARRY MEDICAL COLLEGE","2R25GM059994-05","Lima, Maria F","The Meharry RISE Initiative","NONE","OVERALL MEDICAL","$ 893,843","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                                                 
"MEHARRY MEDICAL COLLEGE","2S06GM008037-32","Rucker, Hubert K","SCORE Project at Meharry Medical College","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 1,715,583","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                           
"MEHARRY MEDICAL COLLEGE","2T32AI007281-16","Villalta, Fernando ","Molecular Microbial Pathogenesis Training Program","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 134,356","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                              
"MEHARRY MEDICAL COLLEGE","2T32HL007737-11","Russell, Shirley B","Minority Institutional Research Training Program","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 301,679","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                
"MEHARRY MEDICAL COLLEGE","3U54NS041071-04S1","Charlton, Clivel G","SNRP PROJECT AT MEHARRY MEDICAL COLLEGE","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 30,000","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                           
"MEHARRY MEDICAL COLLEGE","5F31AG005848-04","Murray, Mark M","MINORITY PREDOCTORAL FELLOWSHIP","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 7,404","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                       
"MEHARRY MEDICAL COLLEGE","5F31AI052492-02","Clark, Kimberly M","Minority Predoctoral Fellowship Program","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 30,711","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                           
"MEHARRY MEDICAL COLLEGE","5F31AR008561-04","Handy, Jeffrey A","MINORITY PREDOCTORAL FELLOWSHIP PROGRAM","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 28,225","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                        
"MEHARRY MEDICAL COLLEGE","5F31DK061284-02","Hamblin, Milton H","Minority Predoctoral Fellowship Program","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 30,693","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                              
"MEHARRY MEDICAL COLLEGE","5F31GM020930-03","Matthews, Qiana L","MINORITY PREDOCTORAL FELLOWSHIP PROGRAM","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 30,798","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                      
"MEHARRY MEDICAL COLLEGE","5G08LM007653-02","Brennan, Virginia ","FactLine: Health Facts About the Poor and Underserved","PUBLIC HEALTH & PREV MEDICINE","OVERALL MEDICAL","$ 50,000","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5G12RR003032-19","Coney, Ponjola ","MEHARRY RESEARCH CENTER IN MINORITY INSTITUTION PROGRAM","NONE","OVERALL MEDICAL","$ 2,218,268","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                 
"MEHARRY MEDICAL COLLEGE","5K01CA089494-04","Thompson, Marilyn E","NUCLEAR EXPORT OF BRCA1 IN MAMMARY EPITHELIAL CELLS","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 152,890","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                       
"MEHARRY MEDICAL COLLEGE","5K01HL003141-09","Aguinaga, Pilar ","NHLBI MINORITY INSTITUTION RESEARCH SCIENTIST DEVELOPMEN","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 151,581","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5K01HL004038-05","Uddin, Mukarram ","REGULATION OF KALLIKREIN MK9 IN HYPERTENSION","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 121,501","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                         
"MEHARRY MEDICAL COLLEGE","5K01HL004143-04","Choi, Oksoon H","THE ROLE OF SPHINGOSINE KINASE IN MAST CELL SIGNALING","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 132,330","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5K01HL067715-03","Buchowski, Maciej S","Metabolic consequences of sickle cell anemia","NONE","OVERALL MEDICAL","$ 168,221","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5K08HL067463-04","Cruzgervis, Roberto A","ALTERED C/EBPB REGULATION IN IPF LUNG FIBROBLASTS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 124,200","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                         
"MEHARRY MEDICAL COLLEGE","5R01AI038910-07","Richardson, Micheler R","Regulation of Chemokine Mediated Leukocyte Functions","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 252,875","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                   
"MEHARRY MEDICAL COLLEGE","5R01AI049096-03","Chen, Chin H","The molecular target of the HIV entry inhibitor IC9564","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 82,078","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                             
"MEHARRY MEDICAL COLLEGE","5R01DE014819-02","Xie, Hua ","Inhibition of HIV Infection by Oral Bacterial Component","DENTISTRY","SCHOOLS OF DENTISTRY/ORAL HYGN","$ 282,325","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                     
"MEHARRY MEDICAL COLLEGE","5R01HL068879-02","Choi, Oksoon H","PI3KC2 Beta in Ca2+ Signaling via Sphingosine Kinase","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 27,034","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                            
"MEHARRY MEDICAL COLLEGE","5R03DK062182-02","Dean, Juli M","Diabetic Retinopathy Screening in a Primary Care Setting","SURGERY","SCHOOLS OF MEDICINE","$ 72,250","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                               
