                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"FISCHER IMAGING CORPORATION","1R43CA100959-01","Besson, Guy M","Integrated ultrasound and digital mammography system","","","$ 468,185","DENVER","COLORADO","80241","  "                                                                                                                                                                                                                                                                                                                                           
"FISCHER IMAGING CORPORATION","1R44CA099068-01","Besson, Guy M","Nine mega-pixel digital mammography display workstation","","","$ 99,623","DENVER","COLORADO","80241","  "                                                                                                                                                                                                                                                                                                                                         
"FISCHER IMAGING CORPORATION","4R44CA099068-02","Besson, Guy M","Nine mega-pixel digital mammography display workstation","","","$ 544,046","DENVER","COLORADO","80241","  "                                                                                                                                                                                                                                                                                                                                        
"FORT LEWIS COLLEGE","1T34GM067584-01","Beelman, Clare A","Biomedical Research Training at Fort Lewis College","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 132,318","DURANGO","COLORADO","81301","  "                                                                                                                                                                                                                                                                                                               
"GONEX, INC.","5R41CA096049-02","Glode, L Michael","Cytotoxic Gonadotropin Releasing Hormone Derivatives","","","$ 247,052","BOULDER","COLORADO","80301","  "                                                                                                                                                                                                                                                                                                                                                       
"HEALTHONE ALLIANCE","3P01CA043892-13S1","Hetzel, Fredrick W","PHOTODYNAMIC THERAPY--BASIC SCIENCE STUDIES","","","$ 791,704","DENVER","COLORADO","80203","  "                                                                                                                                                                                                                                                                                                                                                      
"HEALTHONE ALLIANCE","7K08NS045066-02","Elliott, John P","Ion Channel Modulation in Cerebral Ischemia","","","$ 169,808","DENVER","COLORADO","80203","  "                                                                                                                                                                                                                                                                                                                                                           
"KESTREL LABS, INC.","1R43HD045074-01","Pologe, Jonas A","Spiral Electrode Sensor for Intrapartum Fetal Oximetry","","","$ 99,778","BOULDER","COLORADO","80305","  "                                                                                                                                                                                                                                                                                                                                                
"KESTREL LABS, INC.","1R44HL073518-01","Pologe, Jonas A","Pulse CO-Oximeter for Multiple Hemoglobin Species","","","$ 99,976","BOULDER","COLORADO","80305","  "                                                                                                                                                                                                                                                                                                                                                     
"KEYSTONE CENTER","5R01ES010582-04","Cohen, J J","APOPTOSIS INDUCED BY MICROBIAL DEPSIPETIDES","","","$ 264,250","DILLON","COLORADO","80435","  "                                                                                                                                                                                                                                                                                                                                                                   
"KEYSTONE SYMPOSIA","1R13AI053151-01","Evans, Jilly F","Keystone Symposium: Eicosanoid Lipid Mediators","","","$ 4,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                      
"KEYSTONE SYMPOSIA","1R13AI053209-01","Scott, David W","Mechanisms of Immunologic Tolerance and Its Breakdown","","","$ 15,500","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                              
"KEYSTONE SYMPOSIA","1R13AI053503-01","Yokoyama, Wayne M","Linking Innate with Adaptive Immune Response","","","$ 8,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                     
"KEYSTONE SYMPOSIA","1R13AI053716-01","Mosser, David M","Regulatory and Effector Functions of Macrophages","","","$ 3,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                   
"KEYSTONE SYMPOSIA","1R13AI053720-01","Kaplan, Gilla ","Tuberculosis: Integrating Host and Pathogen Biology","","","$ 9,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                 
"KEYSTONE SYMPOSIA","1R13AI053891-01","Fiona, Powrie ","The Regulation of Mucosal Inflammation","","","$ 3,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                              
"KEYSTONE SYMPOSIA","1R13AI053895-01","Montefiori, David C","HIV Vaccine Development","","","$ 12,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                                       
"KEYSTONE SYMPOSIA","1R13AI053897-01","Willskarp, Marsha W","Conference on Hygiene, Allergy and Asthma","","","$ 10,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                     
"KEYSTONE SYMPOSIA","1R13AI053904-01","Steinman, Ralph M","Dendritic Cells: Interfaces with Immunobiology/Medicine","","","$ 8,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                          
"KEYSTONE SYMPOSIA","1R13AI053905-01","Mellman, Ira S","Cell Biology of the Immune Response","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                                 
"KEYSTONE SYMPOSIA","1R13AI054154-01","Levy, Jay A","20Years of HIV Research: From Discovery to Understanding","","","$ 12,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                              
"KEYSTONE SYMPOSIA","1R13AI054464-01","Richmond, Ann ","Chemokines and Chemokine Receptors","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                                  
"KEYSTONE SYMPOSIA","1R13CA098899-01","Weiner, Louis M","Antibody-Based Therapeutics for Cancer","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                             
"KEYSTONE SYMPOSIA","1R13CA098965-01","Wells, James A","New Advances in Drug Discovery","","","$ 2,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                                      
"KEYSTONE SYMPOSIA","1R13CA099198-01","Berger, Shelley L","The Enzymology of Chromatin and Transcription","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                    
"KEYSTONE SYMPOSIA","1R13CA099297-01","Ephrussi, Anne ","RNA Trafficking, Transport and Processing","","","$ 8,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                          
"KEYSTONE SYMPOSIA","1R13CA099389-01","Juliano, Rudolph L","Conference on Signaling Via Cell-Cell Interactions","","","$ 13,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                             
"KEYSTONE SYMPOSIA","1R13CA105863-01","Seboltleopold, Judith S","Protein Kinases and Cancer:Molecular-Based Therapeutics","","","$ 4,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                    
"KEYSTONE SYMPOSIA","1R13DK062941-01","Schwartz, Michael W","Conference on Obesity","","","$ 28,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                                         
"KEYSTONE SYMPOSIA","1R13DK063897-01","Aguilarbryan, Lydia ","CONFERENCE: 'Toward Understanding Islet Biology'","","","$ 10,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                             
"KEYSTONE SYMPOSIA","1R13DK063898-01","Evans, Ronald M","PPARs: Transcriptional Regulators of Metabolism","","","$ 21,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                   
"KEYSTONE SYMPOSIA","1R13DK063935-01","Kaufman, Randal J","Conformational Diseases of the Secretory Pathway","","","$ 12,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                
"KEYSTONE SYMPOSIA","1R13ES012094-01","Aebersold, Rudolph H","Proteomics: Technologies and Applications","","","$ 12,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                    
"KEYSTONE SYMPOSIA","1R13GM067179-01","Prestegard, James H","Frontiers of NMR in Molecular Biology VIII","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                     
"KEYSTONE SYMPOSIA","1R13GM067252-01","Kim, Stuart K","Functional Genomics:Complex Biological Systems","","","$ 25,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                      
"KEYSTONE SYMPOSIA","1R13GM067309-01","Dervan, Peter B","Gene Suppression: Drug Target Validation","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                           
"KEYSTONE SYMPOSIA","1R13GM070004-01","Yates, John R","Mass Spectrometry in Systems Biology","","","$ 5,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                                 
"KEYSTONE SYMPOSIA","1R13HD046259-01","Lee, Jeannie T","Emerging Mechanisms of Epigenetic Regulation","","","$ 10,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                       
"KEYSTONE SYMPOSIA","1R13HL071668-01","Roden, Dan M","Molecular Pathology of Cardic Arrhythmias","","","$ 10,000","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                                            
"KEYSTONE SYMPOSIA","1R13NS045340-01","Flanagan, John G","Axonal Connections: Cues for Development & Regeneration","","","$ 31,100","SILVERTHORNE","COLORADO","80498","  "                                                                                                                                                                                                                                                                                                                                          
"KLEIN BUENDEL, INC.","5R44CA086552-03","Buller, Mary K","Reinventing 5 A Day Tested Intervention with Technology","","","$ 605,595","GOLDEN","COLORADO","80401","  "                                                                                                                                                                                                                                                                                                                                               
"LOHOCLA RESEARCH CORPORATION","1R44AA014531-01","Snell, Lawrence D","Proteomic Markers of Alcohol Abuse (Phase 1)","","","$ 198,114","DENVER","COLORADO","80220-4748","  "                                                                                                                                                                                                                                                                                                                                         
"MEDEFFICIENCY, INC.","1R43AG020037-01A2","Jensen, Jeffrey L","Patient Transfer - Pressure Reducing Overlay (PtPRO)","","","$ 99,982","DENVER","COLORADO","80220","  "                                                                                                                                                                                                                                                                                                                                              
"METAFLUIDICS, INC.","1R43EB000952-01","Marr, David Wm","Precision Microfluidic Contol for Nanobiotechnology","","","$ 199,947","GOLDEN","COLORADO","80401-9432","  "                                                                                                                                                                                                                                                                                                                                               
"MYCOLOGICS, INC.","1R43AI051742-01A1","Selitrennikoff, Claude P","The glyoxylate cycle as a new target for antifungals","","","$ 100,000","AURORA","COLORADO","80010-7336","  "                                                                                                                                                                                                                                                                                                                                    
"MYCOLOGICS, INC.","1R43AI052506-01A1","Selitrennikoff, Claude P","Antifungal drugs: Beta(1,6)-glucan synthesis inhibitors","","","$ 100,000","AURORA","COLORADO","80010-7336","  "                                                                                                                                                                                                                                                                                                                                 
"MYCOLOGICS, INC.","1R43AI052632-01A1","Selitrennikoff, Claude P","A novel yeast vaccine against Coccidioides Immitis","","","$ 99,997","AURORA","COLORADO","80010-7336","  "                                                                                                                                                                                                                                                                                                                                       
"MYCOLOGICS, INC.","1R43AI053954-01A1","Selitrennikoff, Claude P","Inhibitors of transcription of fungal glucan synthase","","","$ 100,000","AURORA","COLORADO","80010-7336","  "                                                                                                                                                                                                                                                                                                                                   
"MYCOLOGICS, INC.","1R43AI054020-01A1","Selitrennikoff, Claude P","A novel vaccine for Aspergillus fumigatus","","","$ 99,997","AURORA","COLORADO","80010-7336","  "                                                                                                                                                                                                                                                                                                                                                
"MYCOS RESEARCH, LLC","1R43AI053976-01","Pereira, Diane ","Novel Delivery of a New Vaccine for Tuberculosis","","","$ 189,617","FT. COLLINS","COLORADO","80524-4729","  "                                                                                                                                                                                                                                                                                                                                           
"MYOGEN, INC.","1R43HL071364-01A1","Mccune, Sylvia A","Acceleration of heart failure in the SHHF rat model","","","$ 100,000","WESTMINSTER","COLORADO","80021-4014","  "                                                                                                                                                                                                                                                                                                                                            
"MYOGEN, INC.","1R43HL074479-01","Bush, Erik W","MCIP1-Augmenting Drugs as New Heart Failure Therapeutics","","","$ 100,000","WESTMINSTER","COLORADO","80021-4014","  "                                                                                                                                                                                                                                                                                                                                             
"MYOGEN, INC.","1R43HL074678-01","Schreiber, Kathy L","Alpha myosin-inducing compounds and contractility","","","$ 100,000","WESTMINSTER","COLORADO","80021-4014","  "                                                                                                                                                                                                                                                                                                                                              
"MYOGEN, INC.","5R44HL065873-03","Pagratis, Nikos C","MEP2 Signaling Inhibitors as Drugs for Heart Failure","","","$ 173,898","WESTMINSTER","COLORADO","80021-4014","  "                                                                                                                                                                                                                                                                                                                                            
"NANOMATERIALS RESEARCH, LLC","1R43NS045507-01","Routkevitch, Dmitri ","Novel Platform for Living Neural Networks","","","$ 196,144","LONGMONT","COLORADO","80504-9698","  "                                                                                                                                                                                                                                                                                                                                        
"NATIONAL JEWISH MEDICAL & RES CTR"," N01HR976111-012","","LUNG VOLUME REDUCTION SURGERY--CLINICAL CENTER","","","$ 61,956","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                                        
"NATIONAL JEWISH MEDICAL & RES CTR","1F30ES012347-01","Pulfer, Melissa K","Signaling Mechanisms of Ozonized Pulmonary Surfactant","","","$ 26,044","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                 
"NATIONAL JEWISH MEDICAL & RES CTR","1F32CA099321-01A1","Albig, Allan R","Identification of TGF-B regulated angiogenesis genes","","","$ 41,608","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                   
"NATIONAL JEWISH MEDICAL & RES CTR","1F32HD042894-01A1","Kaugars, Astrida S","Emotion Regulation and Cortisol in Children with Atopy","","","$ 46,420","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                             
"NATIONAL JEWISH MEDICAL & RES CTR","1F32HL071336-01A1","Hoyt, Brian D","Nocturnal hypoxemia and executive functions in OSA","","","$ 46,420","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                      
"NATIONAL JEWISH MEDICAL & RES CTR","1K08HL067848-01A1","Frankel, Stephen K","Death receptors, p53 and Akt in myofibroblast apoptosis.","","","$ 123,147","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                          
"NATIONAL JEWISH MEDICAL & RES CTR","1K23AI053572-01","Pacheco, Karin A","Study of Genetics, Endotoxin and Allergen (SAGE)","","","$ 123,816","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                      
"NATIONAL JEWISH MEDICAL & RES CTR","1R01AI052310-01A1","Pelanda, Roberta ","Tolerance in polyclonal and oligoclonal immune systems","","","$ 151,684","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                             
"NATIONAL JEWISH MEDICAL & RES CTR","1R01AI056322-01","Hagman, James R","Transcriptional Control and Lineage Commitment by Pax-5","","","$ 113,700","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                
"NATIONAL JEWISH MEDICAL & RES CTR","1R01CA095519-01A1","Schiemann, William P","Role of Fibulin-5 in Tumorigenesis and TGF-beta Biology","","","$ 265,007","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                         
"NATIONAL JEWISH MEDICAL & RES CTR","1R01ES012504-01","Day, Brian J","Role of Oxidatve Stress in Chronic Beryllium Disease","","","$ 252,035","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                      
"NATIONAL JEWISH MEDICAL & RES CTR","1R01HL073720-01","Worthen, G Scott","Growth Factors and Signaling Pathways in PF","","","$ 651,400","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                           
"NATIONAL JEWISH MEDICAL & RES CTR","1R21AI055284-01","Heifets, Leonid B","Nanoparticle delivery system for antiturberculosis drug","","","$ 222,615","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                              
"NATIONAL JEWISH MEDICAL & RES CTR","1U01HL075416-01","Szefler, Stanley J","CAMP - Continuation Study/Phase 2","","","$ 132,627","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                                   
"NATIONAL JEWISH MEDICAL & RES CTR","1U10HL074073-01","Martin, Richard J","Innovative Investigations and Therapies for Asthma","","","$ 874,215","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                   
"NATIONAL JEWISH MEDICAL & RES CTR","2R01HL061407-05","Worthen, G Scott","LPS-induced Neutrophil Accumulation in the Lung","","","$ 341,756","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                       
"NATIONAL JEWISH MEDICAL & RES CTR","2R21AI042246-06","Gelfand, Erwin W","MEKK2 Regulation of Mast Cell/T Cell Cytokine Production","","","$ 283,050","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                              
"NATIONAL JEWISH MEDICAL & RES CTR","2R37GM032453-21","Voelker, Dennis R","Phospholipid Dynamics in Membrane Assembly","","","$ 379,000","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                           
"NATIONAL JEWISH MEDICAL & RES CTR","2U01HL056263-09","White, Carl W","Hypoxia-inducible factors bronchopulmonary dysplasia-BPD","","","$ 224,109","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                 
"NATIONAL JEWISH MEDICAL & RES CTR","2U01HL063397-05","Crapo, James D","Treatment of BPD Using Mimetics of Superoxide Dismutase","","","$ 384,641","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                 
"NATIONAL JEWISH MEDICAL & RES CTR","3R01AR041256-11S1","Leung, Donald Y","THE ROLE OF BACTERIAL TOXINS IN HUMAN SKIN DISEASE","","","$ 76,050","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                    
"NATIONAL JEWISH MEDICAL & RES CTR","3R01AR041256-12S1","Leung, Donald Y","THE ROLE OF BACTERIAL TOXINS IN HUMAN SKIN DISEASE","","","$ 50,000","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                    
"NATIONAL JEWISH MEDICAL & RES CTR","5F32HL071424-02","Portnoy, Joshua ","KGF signaling in type II epithelial cells","","","$ 56,308","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                              
"NATIONAL JEWISH MEDICAL & RES CTR","5K08HL004407-04","Bowler, Russell P","REGULATION OF EXTRACELLULAR SUPEROXIDE DISMUTASE BY PROT","","","$ 124,218","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                             
"NATIONAL JEWISH MEDICAL & RES CTR","5K23CA084034-04","Gottschall, Eva B","SELENIUM AND LUNG CANCER RISK IN ASBESTOS WORKERS","","","$ 126,217","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                    
"NATIONAL JEWISH MEDICAL & RES CTR","5K23HL004272-03","Liu, Andrew H","ENDOTOXIN AND ASTHMA PREVENTION IN YOUNG CHILDREN","","","$ 122,418","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                        
"NATIONAL JEWISH MEDICAL & RES CTR","5K23HL004385-03","Sutherland, Everett R","Atypical Bacterial Infection as an Asthma Risk Factor","","","$ 121,197","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                            
"NATIONAL JEWISH MEDICAL & RES CTR","5P01AI022295-18","Marrack, Philippa C","ANTIGEN RECOGNITION BY LYMPHOCYTES","","","$ 863,630","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                                 
"NATIONAL JEWISH MEDICAL & RES CTR","5P01ES011810-02","Newman, Lee S","Beryllium: Exposure, Immune and Genetic Mechanisms","","","$ 1,209,242","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                     
"NATIONAL JEWISH MEDICAL & RES CTR","5P01HL031992-20","Crapo, James D","ACUTE LUNG INJURY-MECHANISMS AND THERAPY","","","$ 1,577,182","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                              
"NATIONAL JEWISH MEDICAL & RES CTR","5P01HL034303-19","Henson, Peter M","ETHER LIPIDS, EICOSANOIDS AND LUNG CELL PATHOPHYSIOLOGY","","","$ 1,686,712","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                              
"NATIONAL JEWISH MEDICAL & RES CTR","5P01HL036577-18","Gelfand, Erwin W","Inflammation, Airways Reactivity and Asthma","","","$ 1,495,899","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                         
"NATIONAL JEWISH MEDICAL & RES CTR","5P50HL067671-03","Mason, Robert J","SCOR: Pathobiology of Fibrotic Lung Disease","","","$ 1,777,566","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                          
"NATIONAL JEWISH MEDICAL & RES CTR","5R01AI017134-24","Kappler, John W","REGULATORY MECHANISMS IN THE IMMUNE SYSTEM","","","$ 234,696","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                             
"NATIONAL JEWISH MEDICAL & RES CTR","5R01AI018785-22","Marrack, Philippa C","CHARACTERISTICS OF T CELL RECEPTORS","","","$ 373,834","DENVER","COLORADO","80206","  "                                                                                                                                                                                                                                                                                                                                                
